"","name","time","ratings"
"1","Yutham Sei","160 min","8"
"2","Onaayum Aattukkuttiyum","141 min","8.1"
"3","Dhuruvangal Pathinaaru","105 min","8.2"
"4","Naan","135 min","7.5"
"5","Thegidi","126 min","7.6"
"6","Aaranya Kaandam","126 min","8.5"
"7","Imaikkaa Nodigal","170 min","7.3"
"8","Kurangu Bommai","106 min","8"
"9","Thani Oruvan","160 min","8.4"
"10","Kuttram 23","151 min","7.3"
"11","Unnaipol Oruvan","106 min","8"
"12","8 Thottakkal","145 min","7.5"
"13","Sathuranga Vettai","145 min","8.1"
"14","Thupparivaalan","151 min","7.5"
"15","Visaaranai","117 min","8.5"
"16","Anjathe","185 min","8.1"
"17","Naan Mahaan Alla","132 min","7.1"
"18","Metro","119 min","7.1"
"19","Subramaniapuram","145 min","8.1"
"20","Vidiyum Munn","129 min","7.5"
"21","Naadodigal","161 min","7.7"
"22","Ratsasan","170 min","8.3"
"23","Diary","133 min","7.3"
"24","Rocky","129 min","7.9"
"25","Moodar Koodam","131 min","7.6"
"26","Saani Kaayidham","136 min","7.5"
